userId	geneSymbol	geneName	entrezgene	score	gLink
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	0.64119066645864	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	0.24851500912316	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	0.053743039225565	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCC6P1	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	-0.15319588470353	https://www.ncbi.nlm.nih.gov/gene/?term=653190
ABCC6P2	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013	0.0014802571232107	https://www.ncbi.nlm.nih.gov/gene/?term=730013
ABCC8	ABCC8	ATP binding cassette subfamily C member 8	6833	0.52948445746659	https://www.ncbi.nlm.nih.gov/gene/?term=6833
ABCC9	ABCC9	ATP binding cassette subfamily C member 9	10060	0.75665685561674	https://www.ncbi.nlm.nih.gov/gene/?term=10060
ABCD1	ABCD1	ATP binding cassette subfamily D member 1	215	-0.19707504358954	https://www.ncbi.nlm.nih.gov/gene/?term=215
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	0.65288105563385	https://www.ncbi.nlm.nih.gov/gene/?term=225
ABCD3	ABCD3	ATP binding cassette subfamily D member 3	5825	0.16595128542945	https://www.ncbi.nlm.nih.gov/gene/?term=5825
ABCD4	ABCD4	ATP binding cassette subfamily D member 4	5826	-0.059454709225368003	https://www.ncbi.nlm.nih.gov/gene/?term=5826
ABCE1	ABCE1	ATP binding cassette subfamily E member 1	6059	0.1026538317469	https://www.ncbi.nlm.nih.gov/gene/?term=6059
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23	-0.0967128485848	https://www.ncbi.nlm.nih.gov/gene/?term=23
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061	0.012541530567614	https://www.ncbi.nlm.nih.gov/gene/?term=10061
ABCF3	ABCF3	ATP binding cassette subfamily F member 3	55324	0.070941482848142	https://www.ncbi.nlm.nih.gov/gene/?term=55324
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	0.046068952083653	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	0.42042227144014	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABCG4	ABCG4	ATP binding cassette subfamily G member 4	64137	0.37276904288675	https://www.ncbi.nlm.nih.gov/gene/?term=64137
ABCG5	ABCG5	ATP binding cassette subfamily G member 5	64240	-0.063281312341463	https://www.ncbi.nlm.nih.gov/gene/?term=64240
ABCG8	ABCG8	ATP binding cassette subfamily G member 8	64241	-0.11909954625141	https://www.ncbi.nlm.nih.gov/gene/?term=64241
ABHD1	ABHD1	abhydrolase domain containing 1	84696	0.10793454755795	https://www.ncbi.nlm.nih.gov/gene/?term=84696
ABHD10	ABHD10	abhydrolase domain containing 10	55347	0.077743680042266	https://www.ncbi.nlm.nih.gov/gene/?term=55347
ABHD11	ABHD11	abhydrolase domain containing 11	83451	-0.73384594179034	https://www.ncbi.nlm.nih.gov/gene/?term=83451
ABHD12	ABHD12	abhydrolase domain containing 12	26090	-0.10801118899322	https://www.ncbi.nlm.nih.gov/gene/?term=26090
ABHD12B	ABHD12B	abhydrolase domain containing 12B	145447	0.38628080050079	https://www.ncbi.nlm.nih.gov/gene/?term=145447
ABHD13	ABHD13	abhydrolase domain containing 13	84945	0.56784914994902	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD14A	ABHD14A	abhydrolase domain containing 14A	25864	0.19416339874298	https://www.ncbi.nlm.nih.gov/gene/?term=25864
ABHD14B	ABHD14B	abhydrolase domain containing 14B	84836	-0.37070435075921	https://www.ncbi.nlm.nih.gov/gene/?term=84836
ABHD15	ABHD15	abhydrolase domain containing 15	116236	0.60057982716084	https://www.ncbi.nlm.nih.gov/gene/?term=116236
ABHD2	ABHD2	abhydrolase domain containing 2	11057	-0.10225962228752	https://www.ncbi.nlm.nih.gov/gene/?term=11057
ABHD3	ABHD3	abhydrolase domain containing 3	171586	-0.2940178569638	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4	63874	-0.2837216503852	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD5	ABHD5	abhydrolase domain containing 5	51099	-1.473231935645e-4	https://www.ncbi.nlm.nih.gov/gene/?term=51099
ABHD6	ABHD6	abhydrolase domain containing 6	57406	0.42290500771301	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABHD8	ABHD8	abhydrolase domain containing 8	79575	0.10258653876706	https://www.ncbi.nlm.nih.gov/gene/?term=79575
ABI1	ABI1	abl interactor 1	10006	-0.1600053904952	https://www.ncbi.nlm.nih.gov/gene/?term=10006
ABI2	ABI2	abl interactor 2	10152	0.67115745349443	https://www.ncbi.nlm.nih.gov/gene/?term=10152
ABI3	ABI3	ABI family member 3	51225	0.37346811033081	https://www.ncbi.nlm.nih.gov/gene/?term=51225
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	0.36005073515086	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	0.47161813543912	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	0.44859673515034	https://www.ncbi.nlm.nih.gov/gene/?term=27
ABLIM1	ABLIM1	actin binding LIM protein 1	3983	0.11631457127656	https://www.ncbi.nlm.nih.gov/gene/?term=3983
ABLIM2	ABLIM2	actin binding LIM protein family member 2	84448	0.19372301875186	https://www.ncbi.nlm.nih.gov/gene/?term=84448
ABLIM3	ABLIM3	actin binding LIM protein family member 3	22885	-0.15760144908423	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ABO	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	-0.3722175426327	https://www.ncbi.nlm.nih.gov/gene/?term=28
ABR	ABR	ABR, RhoGEF and GTPase activating protein	29	0.38187142333575	https://www.ncbi.nlm.nih.gov/gene/?term=29
ABRA	ABRA	actin binding Rho activating protein	137735	0.22671604227156	https://www.ncbi.nlm.nih.gov/gene/?term=137735
ABT1	ABT1	activator of basal transcription 1	29777	-0.080035482297085	https://www.ncbi.nlm.nih.gov/gene/?term=29777
ABTB1	ABTB1	ankyrin repeat and BTB domain containing 1	80325	-0.24065811135016	https://www.ncbi.nlm.nih.gov/gene/?term=80325
ABTB2	ABTB2	ankyrin repeat and BTB domain containing 2	25841	-0.23653299579951	https://www.ncbi.nlm.nih.gov/gene/?term=25841
ACAA1	ACAA1	acetyl-CoA acyltransferase 1	30	-0.48831180549076	https://www.ncbi.nlm.nih.gov/gene/?term=30
ACAA2	ACAA2	acetyl-CoA acyltransferase 2	10449	0.2932996181403	https://www.ncbi.nlm.nih.gov/gene/?term=10449
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	0.17067039223468	https://www.ncbi.nlm.nih.gov/gene/?term=31
ACACB	ACACB	acetyl-CoA carboxylase beta	32	0.5929279593183	https://www.ncbi.nlm.nih.gov/gene/?term=32
ACAD10	ACAD10	acyl-CoA dehydrogenase family member 10	80724	-0.044326219472302	https://www.ncbi.nlm.nih.gov/gene/?term=80724
ACAD11	ACAD11	acyl-CoA dehydrogenase family member 11	84129	0.2806908511151	https://www.ncbi.nlm.nih.gov/gene/?term=84129
ACAD8	ACAD8	acyl-CoA dehydrogenase family member 8	27034	0.13141150658192	https://www.ncbi.nlm.nih.gov/gene/?term=27034
ACAD9	ACAD9	acyl-CoA dehydrogenase family member 9	28976	-0.26856742448149	https://www.ncbi.nlm.nih.gov/gene/?term=28976
ACADL	ACADL	acyl-CoA dehydrogenase long chain	33	0.099389625247344	https://www.ncbi.nlm.nih.gov/gene/?term=33
ACADM	ACADM	acyl-CoA dehydrogenase medium chain	34	0.4670219367944	https://www.ncbi.nlm.nih.gov/gene/?term=34
ACADS	ACADS	acyl-CoA dehydrogenase short chain	35	-0.32639729943213	https://www.ncbi.nlm.nih.gov/gene/?term=35
ACADSB	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	0.40278647070596	https://www.ncbi.nlm.nih.gov/gene/?term=36
ACADVL	ACADVL	acyl-CoA dehydrogenase very long chain	37	-0.17596736346653	https://www.ncbi.nlm.nih.gov/gene/?term=37
ACAN	ACAN	aggrecan	176	0.13721670555589	https://www.ncbi.nlm.nih.gov/gene/?term=176
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	0.20822686227252	https://www.ncbi.nlm.nih.gov/gene/?term=9744
ACAP2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	0.36745367362045	https://www.ncbi.nlm.nih.gov/gene/?term=23527
ACAP3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	-0.039599424610588	https://www.ncbi.nlm.nih.gov/gene/?term=116983
ACAT1	ACAT1	acetyl-CoA acetyltransferase 1	38	0.46325128946163	https://www.ncbi.nlm.nih.gov/gene/?term=38
ACAT2	ACAT2	acetyl-CoA acetyltransferase 2	39	-0.15618831343561	https://www.ncbi.nlm.nih.gov/gene/?term=39
ACBD3	ACBD3	acyl-CoA binding domain containing 3	64746	-0.16043485565252	https://www.ncbi.nlm.nih.gov/gene/?term=64746
ACBD4	ACBD4	acyl-CoA binding domain containing 4	79777	-0.13566333454268	https://www.ncbi.nlm.nih.gov/gene/?term=79777
ACBD5	ACBD5	acyl-CoA binding domain containing 5	91452	-0.17069723083573	https://www.ncbi.nlm.nih.gov/gene/?term=91452
ACBD6	ACBD6	acyl-CoA binding domain containing 6	84320	-0.35846059101045	https://www.ncbi.nlm.nih.gov/gene/?term=84320
ACBD7	ACBD7	acyl-CoA binding domain containing 7	414149	-0.14812370119772	https://www.ncbi.nlm.nih.gov/gene/?term=414149
ACCS	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	-0.17579137104635	https://www.ncbi.nlm.nih.gov/gene/?term=84680
ACCSL	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	0.23081346760646	https://www.ncbi.nlm.nih.gov/gene/?term=390110
ACD	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	65057	-0.1503988553102	https://www.ncbi.nlm.nih.gov/gene/?term=65057
ACE	ACE	angiotensin I converting enzyme	1636	-0.0036523665022639	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACE2	ACE2	angiotensin I converting enzyme 2	59272	0.13373308571903	https://www.ncbi.nlm.nih.gov/gene/?term=59272
ACER1	ACER1	alkaline ceramidase 1	125981	0.32472130220736	https://www.ncbi.nlm.nih.gov/gene/?term=125981
ACER2	ACER2	alkaline ceramidase 2	340485	-0.073494562828386	https://www.ncbi.nlm.nih.gov/gene/?term=340485
ACER3	ACER3	alkaline ceramidase 3	55331	-0.11188352885765	https://www.ncbi.nlm.nih.gov/gene/?term=55331
ACHE	ACHE	acetylcholinesterase (Cartwright blood group)	43	-0.14836147144027	https://www.ncbi.nlm.nih.gov/gene/?term=43
ACIN1	ACIN1	apoptotic chromatin condensation inducer 1	22985	-0.019507118903738	https://www.ncbi.nlm.nih.gov/gene/?term=22985
ACLY	ACLY	ATP citrate lyase	47	0.44982328466742	https://www.ncbi.nlm.nih.gov/gene/?term=47
ACMSD	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	0.35157982720528	https://www.ncbi.nlm.nih.gov/gene/?term=130013
ACO1	ACO1	aconitase 1	48	0.0077755002790258	https://www.ncbi.nlm.nih.gov/gene/?term=48
ACO2	ACO2	aconitase 2	50	-0.12438009112072	https://www.ncbi.nlm.nih.gov/gene/?term=50
ACOT1	ACOT1	acyl-CoA thioesterase 1	641371	0.22373177502128	https://www.ncbi.nlm.nih.gov/gene/?term=641371
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	-0.52142286653091	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT12	ACOT12	acyl-CoA thioesterase 12	134526	0.14306013796717	https://www.ncbi.nlm.nih.gov/gene/?term=134526
ACOT13	ACOT13	acyl-CoA thioesterase 13	55856	0.044719629379	https://www.ncbi.nlm.nih.gov/gene/?term=55856
ACOT2	ACOT2	acyl-CoA thioesterase 2	10965	0.18277823872417	https://www.ncbi.nlm.nih.gov/gene/?term=10965
ACOT4	ACOT4	acyl-CoA thioesterase 4	122970	-0.43820409032382	https://www.ncbi.nlm.nih.gov/gene/?term=122970
ACOT6	ACOT6	acyl-CoA thioesterase 6	641372	0.064280243662285	https://www.ncbi.nlm.nih.gov/gene/?term=641372
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	-0.24827398438591	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOT8	ACOT8	acyl-CoA thioesterase 8	10005	-0.40464559997466	https://www.ncbi.nlm.nih.gov/gene/?term=10005
ACOT9	ACOT9	acyl-CoA thioesterase 9	23597	-0.44188202719329	https://www.ncbi.nlm.nih.gov/gene/?term=23597
ACOX1	ACOX1	acyl-CoA oxidase 1	51	0.045930743576127	https://www.ncbi.nlm.nih.gov/gene/?term=51
ACOX2	ACOX2	acyl-CoA oxidase 2	8309	0.61003266998861	https://www.ncbi.nlm.nih.gov/gene/?term=8309
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	-0.30158590753596	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ACOXL	ACOXL	acyl-CoA oxidase like	55289	0.33826939032263	https://www.ncbi.nlm.nih.gov/gene/?term=55289
ACP1	ACP1	acid phosphatase 1	52	-0.2195521455	https://www.ncbi.nlm.nih.gov/gene/?term=52
ACP2	ACP2	acid phosphatase 2, lysosomal	53	0.09820529946947	https://www.ncbi.nlm.nih.gov/gene/?term=53
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	-0.061136172149933	https://www.ncbi.nlm.nih.gov/gene/?term=54
ACP6	ACP6	acid phosphatase 6, lysophosphatidic	51205	-0.58345037592938	https://www.ncbi.nlm.nih.gov/gene/?term=51205
ACPP	ACPP	acid phosphatase, prostate	55	-0.27375881991982	https://www.ncbi.nlm.nih.gov/gene/?term=55
ACR	ACR	acrosin	49	0.52319647102974	https://www.ncbi.nlm.nih.gov/gene/?term=49
ACRBP	ACRBP	acrosin binding protein	84519	0.22103286434023	https://www.ncbi.nlm.nih.gov/gene/?term=84519
ACRV1	ACRV1	acrosomal vesicle protein 1	56	-0.08455892451327	https://www.ncbi.nlm.nih.gov/gene/?term=56
ACSBG1	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	0.31513500006305	https://www.ncbi.nlm.nih.gov/gene/?term=23205
ACSBG2	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	0.066687440635775	https://www.ncbi.nlm.nih.gov/gene/?term=81616
ACSF2	ACSF2	acyl-CoA synthetase family member 2	80221	-0.3285370101423	https://www.ncbi.nlm.nih.gov/gene/?term=80221
ACSF3	ACSF3	acyl-CoA synthetase family member 3	197322	-0.27478986373306	https://www.ncbi.nlm.nih.gov/gene/?term=197322
ACSL1	ACSL1	acyl-CoA synthetase long chain family member 1	2180	0.48907810258253	https://www.ncbi.nlm.nih.gov/gene/?term=2180
ACSL3	ACSL3	acyl-CoA synthetase long chain family member 3	2181	-0.27985725110159	https://www.ncbi.nlm.nih.gov/gene/?term=2181
ACSL4	ACSL4	acyl-CoA synthetase long chain family member 4	2182	0.01579699100369	https://www.ncbi.nlm.nih.gov/gene/?term=2182
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	-0.51298918472957	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSL6	ACSL6	acyl-CoA synthetase long chain family member 6	23305	0.62113156811674	https://www.ncbi.nlm.nih.gov/gene/?term=23305
ACSM1	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	-0.19976381692455	https://www.ncbi.nlm.nih.gov/gene/?term=116285
ACSM2A	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	0.0059830202310694	https://www.ncbi.nlm.nih.gov/gene/?term=123876
ACSM2B	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	0.0065149420348652	https://www.ncbi.nlm.nih.gov/gene/?term=348158
ACSM3	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	-0.03575755075768	https://www.ncbi.nlm.nih.gov/gene/?term=6296
ACSM4	ACSM4	acyl-CoA synthetase medium chain family member 4	341392	-0.12199565883319	https://www.ncbi.nlm.nih.gov/gene/?term=341392
ACSM5	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	0.60065562987172	https://www.ncbi.nlm.nih.gov/gene/?term=54988
ACSS1	ACSS1	acyl-CoA synthetase short chain family member 1	84532	-0.35511631586754	https://www.ncbi.nlm.nih.gov/gene/?term=84532
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	-0.50025497147673	https://www.ncbi.nlm.nih.gov/gene/?term=55902
ACSS3	ACSS3	acyl-CoA synthetase short chain family member 3	79611	0.39941017423715	https://www.ncbi.nlm.nih.gov/gene/?term=79611
ACTA1	ACTA1	actin alpha 1, skeletal muscle	58	0.22319337403686	https://www.ncbi.nlm.nih.gov/gene/?term=58
ACTA2	ACTA2	actin alpha 2, smooth muscle	59	0.19042372962777	https://www.ncbi.nlm.nih.gov/gene/?term=59
ACTB	ACTB	actin beta	60	-0.3131132875887	https://www.ncbi.nlm.nih.gov/gene/?term=60
ACTBL2	ACTBL2	actin beta like 2	345651	-0.018043380253267	https://www.ncbi.nlm.nih.gov/gene/?term=345651
ACTC1	ACTC1	actin alpha cardiac muscle 1	70	0.48104398458596	https://www.ncbi.nlm.nih.gov/gene/?term=70
ACTG1	ACTG1	actin gamma 1	71	-0.21195791019392	https://www.ncbi.nlm.nih.gov/gene/?term=71
ACTG2	ACTG2	actin gamma 2, smooth muscle	72	-0.007951527523933	https://www.ncbi.nlm.nih.gov/gene/?term=72
ACTL6A	ACTL6A	actin like 6A	86	-0.33745591008335	https://www.ncbi.nlm.nih.gov/gene/?term=86
ACTL6B	ACTL6B	actin like 6B	51412	0.56126627108062	https://www.ncbi.nlm.nih.gov/gene/?term=51412
ACTL7A	ACTL7A	actin like 7A	10881	-0.11446636711521	https://www.ncbi.nlm.nih.gov/gene/?term=10881
ACTL7B	ACTL7B	actin like 7B	10880	-0.1985678448435	https://www.ncbi.nlm.nih.gov/gene/?term=10880
ACTL8	ACTL8	actin like 8	81569	-0.07688638946122	https://www.ncbi.nlm.nih.gov/gene/?term=81569
ACTL9	ACTL9	actin like 9	284382	-0.10366111673329	https://www.ncbi.nlm.nih.gov/gene/?term=284382
ACTN1	ACTN1	actinin alpha 1	87	0.056403050465732	https://www.ncbi.nlm.nih.gov/gene/?term=87
ACTN2	ACTN2	actinin alpha 2	88	0.12797495928197	https://www.ncbi.nlm.nih.gov/gene/?term=88
ACTN3	ACTN3	actinin alpha 3 (gene/pseudogene)	89	0.29198062669003	https://www.ncbi.nlm.nih.gov/gene/?term=89
ACTN4	ACTN4	actinin alpha 4	81	-0.46367034959026	https://www.ncbi.nlm.nih.gov/gene/?term=81
ACTR10	ACTR10	actin related protein 10	55860	0.31453722388478	https://www.ncbi.nlm.nih.gov/gene/?term=55860
ACTR1A	ACTR1A	actin related protein 1A	10121	0.19787476786787	https://www.ncbi.nlm.nih.gov/gene/?term=10121
ACTR1B	ACTR1B	actin related protein 1B	10120	-0.25878548779809	https://www.ncbi.nlm.nih.gov/gene/?term=10120
ACTR2	ACTR2	actin related protein 2	10097	0.061243645582967	https://www.ncbi.nlm.nih.gov/gene/?term=10097
ACTR3	ACTR3	actin related protein 3	10096	-0.18068376727379	https://www.ncbi.nlm.nih.gov/gene/?term=10096
ACTR3B	ACTR3B	actin related protein 3B	57180	0.11265815115383	https://www.ncbi.nlm.nih.gov/gene/?term=57180
